title,price,asin
"Red-Headed Stepchild (Sabina Kane, Book 1)",7.8525,0316037761
Conservative Comebacks to Liberal Lies: Issue by Issue Responses to the Most Common Claims of the Left from A to Z,12.147241379310346,0977227901
Jordyn and the Caverns of Gloom: A Daemon Hunter Novel book 2,12.288,1491291125
Hello Kitty Must Die,6.688571428571429,1935562029
Song of the Summer King,14.10421052631579,0985805803
Lake Caerwych,6.66,061554228X
The Tombs: A Fargo Adventure (A Sam and Remi Fargo Adventure),38.985151515151514,0399159266
Love's A Bitch (LSDV Productions),3.628181818181818,B00H0BVTVG
Night Prey,7.4925,0821736612
Return to Sullivan's Island (Lowcountry Tales),9.2253125,0061438456
Race With the Devil: My Journey from Racial Hatred to Rational Love,12.541333333333332,161890065X
"Reunited for the Holidays (Love Inspired, Texas Twins)",5.431363636363637,037387782X
"Rest Not in Peace (Chronicles of Hugh de Singleton, Surgeon)",10.557586206896552,1782640088
The Journals of Kara and Jason,2.414230769230769,B00BP9GRCK
Miss Pettigrew Lives for a Day (Persephone Classics),9.563793103448276,190646202X
7: An Experimental Mutiny Against Excess,12.355,1433672960
The Pirate Hunter: The True Story of Captain Kidd,19.751153846153848,0786865334
Survivors: True Stories of Children in the Holocaust,8.329666666666666,0439669960
Infinite Devotion: Second Book of the Infinite Series (Volume 2),9.745909090909091,0983911126
Shattered,4.99,B00DEJ9500
July 1914: Countdown to War,13.3475,0465031455
Blood and Sand: An Elemental World Novel (Volume 2),8.473548387096775,1489523413
Magic Academy: A Fantasy New Adult Romance,9.99,1494266741
104 Puzzle Quizzes (Interactive Puzzlebook for E-readers),1.8947619047619046,B009THFEVA
"How to Buy, Sell, and Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days",13.048620689655172,006076287X
White Witch: The Coven Series (Volume 1),5.214285714285714,1611940834
Field of Blood,90.20736842105264,031615458X
The Total Gun Manual (Field & Stream): 335 Essential Shooting Skills,14.997391304347826,1616282193
Living with Purpose in a Worn-Out Body: Spiritual Encouragement for Older Adults,9.343793103448276,083589942X
Handcrafted Wire Findings: Techniques and Designs for Custom Jewelry Components,15.2556,1596682833
The Transformation of Bartholomew Fortuno: A Novel,8.628571428571428,0805091920
"Rumors (Luxe, Book 2)",7.000322580645161,0061345717
Homeostasis Lost,3.3649999999999998,B00DCCRFGU
My Life in Middlemarch,13.167916666666667,0307984761
A Voyage to Arcturus,12.01235294117647,034503208X
Hot Quit,10.845714285714285,1612186890
Inseparable (Madaris Family Saga),6.265806451612903,0373534434
Diego: Bigger Than Life,14.021176470588236,0761453830
The Lucky One,7.917428571428571,0446579939
Life Blood,1.668,B0042X9AIO
Wealth and Power: China's Long March to the Twenty-first Century,16.622916666666665,0679643478
Crashers,10.2364,0312599889
Time for Bed,8.083333333333334,0152010661
My Dear Sophy,8.99,0985853719
Dumped in Oz (Tales from Kansas Book 1),4.259615384615385,B00HV6MSEW
Ladybug Girl and Bumblebee Boy,11.778333333333332,0803733399
"The Bayou Trilogy: Under the Bright Lights, Muscle for the Wing, and The Ones You Do",8.894838709677419,0316133655
The Immense Journey: An Imaginative Naturalist Explores the Mysteries of Man and Nature,20.119583333333335,0394701577
Diamond Dogs: A Novel,17.362,0316925810
The Tea House on Mulberry Street,10.027407407407408,0399152652
Minimalism: Live a Meaningful Life,9.738333333333333,0615648223
Zoology 1: Flying Creatures of the Fifth Day (Young Explorer (Apologia Educational Ministries)),25.013333333333335,1932012613
Games of the Heart (The 'Burg Series Book 4),5.026071428571429,B007KYH3P4
Don't Fight With the Garden Hose and Other Lessons I've Learned Along the Way,7,0982874235
Aretha: From These Roots,11.02,0375407960
Why Globalization Works,16.5995,0300102526
The Adobe Photoshop CS4 Book for Digital Photographers,20.134137931034484,0321580095
The Attributes of God,9.804,0801067723
The Future of Management,19.631333333333334,1422102505
An Infinity of Little Hours: Five Young Men and Their Trial of Faith in the Western World's Most Austere Monastic Order,18.336315789473684,1586483277
If on a Winter's Night a Traveler,11.19,0156439611
The Battle of the Crater: A Novel,9.368333333333334,0312607105
The Night Gardener,7.116333333333333,0316156507
Kushiel's Scion (Kushiel's Legacy),11.831875,044650002X
Heart and Soul,11.49735294117647,030726579X
"1,001 ASVAB Practice Questions For Dummies (+ Free Online Practice)",23.384545454545453,1118646312
BATHSHEBA Bathed in Grace: How 8 Scandalous Women Changed the World,13.112857142857143,1449772668
"Yes Sister, No Sister: My Life as a Trainee Nurse in 1950s Yorkshire",17.834666666666667,0091937957
"Heart of Evil (Krewe of Hunters, Book 2)",7.413333333333333,0778329984
Wool Pets: Making 20 Figures with Wool Roving and a Barbed Needle,12.591176470588236,1589233859
Permanent Record,8.26909090909091,1477816399
Renegade Reject (Renegade Sons MC Book 2),2.6446153846153844,B00K9QUXAC
Created to be His Help Meet: Discover How God Can Make Your Marriage Glorious,11.864516129032259,1892112604
Shoot to Thrill,7.9521875,0399155201
Pocketful of Posies: A Treasury of Nursery Rhymes,14.528333333333334,0618737405
Vampire Mine (Love at Stake),6.7965625,0061958042
Voice of Conscience,21.72,1432706284
Christmas Bells: Book Three in The Seasons of Cherryvale (Volume 3),4.55,0615690173
101 Essential Tips: Bonsai,10.89225806451613,0789410753
Goldilicious (Pinkalicious),10.106,0061244082
Trapped,3.1104,B00LKRDIUG
The Guardian (The O'Malley Series #2),9.018064516129032,1414310579
"The Years of Extermination: Nazi Germany and the Jews, 1939-1945",32.656571428571425,0060190434
Marshal Sam Callapp (Marshal Sam Callapp Series Book 1),2.6983333333333333,B009621GIS
The Gladiator's Master,4.122173913043478,B005GFAIDI
Star Wars: Allegiance,9.771935483870967,0345477383
Three Day Road,12.991290322580646,0143037072
"Complete Green Letters, The",11.129285714285714,0310330513
The Force Unleashed (Star Wars),9.0865625,0345499026
Eight Million Ways to Die (Matthew Scudder Mysteries),12.6365,0061457965
Skyward,8.717777777777778,0778322068
Pitbulls In A Skirt 2 (The Cartel Publications Presents),12.4488,0979493196
Hallowed,4.39,B009KN8BY0
Mission at Nuremberg: An American Army Chaplain and the Trial of the Nazis,15.055416666666666,0061997196
In the Shadow of Babylon,7.33,146110713X
Nekropolis: A Matt Richter Novel (The Nekropolis Archives),9.167,0857660136
Higgs: The Invention and Discovery of the 'God Particle',14.520357142857144,0199603499
"Nail Your Novel: Why Writers Abandon Books and How You Can Draft, Fix and Finish With Confidence",9.611290322580645,146108136X
The Girl Who Came Home: A Novel of the Titanic (P.S.),10.130967741935484,0062316869
"Switch On Your Brain: The Key to Peak Happiness, Thinking, and Health",11.633846153846154,0801015707
The Mask of Atreus,4.4925,042520913X
Living Beautifully: with Uncertainty and Change,13.364666666666666,1590309634
Unnatural Habits (Phryne Fisher Mysteries),10.162083333333333,1464201234
Red Velvet Cupcake Murder (A Hannah Swensen Mystery),10.02483870967742,0758280343
Shadow of the Giant (The Shadow Series),20.21107142857143,0312857586
The Glass Castle,12.521470588235294,0739458213
Lonely Planet Peru,15.309473684210527,0864427107
If Only We Knew (My Best Friend Book 3),3.7517391304347827,B009BII0XQ
"The Housewife Assassin's Handbook (Housewife Assassin Series, Book 1)",4.360714285714286,B0050PJZLK
"Almost an Angel (The Regency Rags to Riches Series, Book 3)",4.263076923076923,B009M5RNYU
XO: A Kathryn Dance Novel,8.984848484848484,1439156379
The Dawning of Power,21.99,0981871402
Two Lethal Lies,5.7475,0446178454
The Sexual Life of Catherine M.,9.215357142857144,0802117163
The Other Story: A Novel,7.587586206896551,1250045134
When Snow Falls (Whiskey Creek),7.867272727272727,0778313719
Courageous: A Novel,9.8224,1414358466
The Hearing (Dismas Hardy),7.776451612903226,0451204891
Daily Scripture Reading and Meditation: 31 Bible Verses About Faith - To Keep You Overcoming! (31 Days Daily Devotional Book 2),3.0166666666666666,B007HAWNYW
The Way to Wealth (Little Books of Wisdom),7.245454545454545,0918222885
The Janissary Tree: A Novel (Investigator Yashim),10.6671875,0312426135
VOICES (The David Chance Series Book 2),3.155,B00BCMLK36
Don't Miss the Boat: Facts to Keep Your Faith Afloat,8.11,0890517215
Unwind (Unwind Dystology),10.176666666666666,1416912045
Eisenhower: The White House Years,10.4708,038552353X
Enza,8.99,147018964X
Six pound nineteen per witching hour: Paranormal Personnel Saga #1,7.591,1484146360
Female Nomad and Friends: Tales of Breaking Free and Breaking Bread Around the World,9.921724137931035,0307588017
The Vigilantes (Badge Of Honor),8.637500000000001,0399156631
The 13th Juror (Dismas Hardy),8.273684210526316,0440220793
How to Find Low Competition Long Tail Keywords Using Free Tools (Online Business Ideas & Internet Marketing Tips fo Book 3),5.656666666666666,B00C51AB24
