magnitude,score,overall
1.8,0,2
4,-0.6,2
6.1,-0.1,2
5.4,0,2
6.3,-0.2,2
0.6,-0.3,2
4.8,-0.2,2
4.4,-0.1,2
7.3,-0.3,2
4.1,-0.2,2
2.4,0,2
25.2,0,2
9.3,-0.2,2
2.3,-0.4,2
7,-0.2,2
0.7,-0.1,2
0.5,-0.1,2
2.4,-0.4,2
5.9,-0.1,2
1.7,-0.5,2
5.9,-0.5,2
1.1,-0.2,2
8.2,-0.1,2
3.7,0,2
3.6,-0.3,2
3.4,-0.1,2
2.2,-0.1,2
6.2,0.3,2
1.1,-0.5,2
7.5,-0.6,2
5,0,2
3.3,-0.5,2
6.9,-0.3,2
6.3,-0.3,2
2.4,-0.3,2
5.8,-0.6,2
4.3,-0.8,2
1.5,0,2
6.1,0,2
1.1,0,2
7.6,-0.5,2
1.7,-0.8,2
5.3,-0.3,2
3.8,0,2
4.2,-0.1,2
0.7,-0.7,2
4.3,0.1,2
1.8,-0.1,2
2.8,0.1,2
3.4,-0.1,2
3.3,0,2
0.3,0,2
3.2,-0.2,2
3.4,0.1,2
8.7,-0.1,2
1.4,0.2,2
0.9,-0.4,2
3.7,0,2
6.3,-0.1,2
1.5,-0.7,2
4.6,-0.1,2
1.6,-0.8,2
0.4,0,2
1.4,-0.4,2
2.6,0.1,2
4.7,-0.4,2
2.3,0.1,2
4.7,-0.4,2
1.2,-0.6,2
4.1,-0.4,2
7.3,-0.3,2
0.8,-0.8,2
6.7,-0.2,2
2.4,0,2
3.9,0,2
3,0,2
3.4,-0.3,2
2.8,-0.1,2
3.1,-0.5,2
0.8,-0.8,2
2.9,-0.1,2
0.4,-0.2,2
4.8,-0.4,2
3.6,-0.3,2
10.5,-0.2,2
1.3,-0.4,2
3.8,-0.5,2
2.9,-0.1,2
1,-0.5,2
0.7,-0.2,2
7.2,-0.1,2
2.6,-0.4,2
3.3,-0.2,2
5.5,0,2
7.1,-0.1,2
6.6,0,2
10.4,0.1,2
3.2,0.4,2
6.6,0,2
1.7,-0.4,2
1.2,-0.3,2
1.8,0,2
6.6,-0.2,2
6.7,-0.6,2
2.8,-0.2,2
3.5,-0.2,2
3.6,-0.1,2
6.1,-0.1,2
2,0,2
11,0.1,2
2.2,0,2
3.9,-0.3,2
1.4,-0.4,2
1.7,-0.4,2
0.7,-0.3,2
11.7,-0.3,2
4.5,-0.3,2
1.7,-0.8,2
1.4,-0.4,2
7.4,-0.3,2
4.7,-0.1,2
2.7,0,2
2.2,0,2
1.2,-0.6,2
5.2,-0.1,2
1.6,-0.4,2
3.6,-0.4,2
1.6,0,2
8.5,0,2
3,-0.7,2
11.6,-0.1,2
2.5,-0.2,2
2.3,-0.7,2
10.5,0,2
5.9,-0.6,2
3.4,-0.4,2
6.6,-0.1,2
5,-0.5,2
6.3,-0.3,2
5.4,-0.1,2
1.7,-0.1,2
0.9,-0.4,2
4.1,-0.5,2
5.6,0,2
4.2,-0.4,2
7.9,-0.4,2
1.3,0,2
4.4,-0.3,2
2.4,0.3,2
3.3,0.1,2
9.5,-0.2,2
9.6,0,2
1.2,-0.6,2
2.2,-0.7,2
2.1,-0.3,2
0.8,-0.8,2
1.3,-0.1,2
3.7,-0.1,2
3.7,-0.5,2
1.9,-0.4,2
6.3,-0.1,2
8.3,0,2
1.9,-0.3,2
2.3,0.2,2
1.1,0,2
5.1,-0.2,2
8.3,0,2
3.4,-0.2,2
5.5,-0.4,2
16,0,2
0.4,-0.2,2
3.8,-0.1,2
10,-0.2,2
8.8,-0.4,2
3.6,0.2,2
9.8,0,2
1.4,0,2
1.1,0.3,2
3.2,-0.2,2
0.7,0.2,2
1.6,0,2
0.9,-0.1,2
1.8,-0.9,2
2,-0.3,2
1.3,-0.1,2
3.1,-0.1,2
1.1,-0.4,2
2.5,-0.1,2
2.4,-0.4,2
1.7,-0.8,2
1.1,0,2
4.7,-0.1,2
4.9,-0.4,2
18.9,-0.2,2
7.7,-0.3,2
1.7,-0.5,2
3.5,-0.7,2
2.1,-0.2,2
7.9,-0.4,2
3.9,-0.3,2
5.2,-0.2,2
11.4,-0.2,2
2.4,-0.1,2
4.9,-0.2,2
1.3,-0.6,2
22.7,-0.1,2
3.2,-0.3,2
3.2,-0.6,2
1.1,-0.1,2
0.3,-0.3,2
0.7,-0.3,2
1.7,-0.8,2
0.5,-0.2,2
0.5,0.2,2
1.9,-0.6,2
0.9,-0.9,2
8.2,0,2
4.8,-0.8,2
2.3,-0.2,2
1.1,0.1,2
0.9,-0.2,2
6.7,-0.5,2
8.1,0,2
4.4,0.1,2
1.8,-0.1,2
5.6,-0.3,2
1.7,-0.8,2
9.2,-0.1,2
3.3,-0.8,2
6.7,0,2
3,-0.7,2
3.8,-0.2,2
6.3,-0.1,2
3.9,-0.7,2
1.5,-0.7,2
3.4,-0.3,2
3.1,0,2
2.9,-0.4,2
7.7,-0.3,2
1.1,-0.3,2
1.7,-0.4,2
2.1,-0.2,2
0.7,0,2
1.9,-0.4,2
10.4,-0.2,2
3.1,-0.6,2
0.9,-0.9,2
3.1,-0.4,2
16.5,-0.4,2
1.9,0,2
1.5,0,2
1.3,-0.6,2
1.6,-0.1,2
3.3,0,2
2.4,-0.1,2
0.9,-0.9,2
0.9,-0.9,2
0.9,0,2
3.5,0,2
2.5,0.1,2
1.8,-0.4,2
1.2,-0.6,2
3.2,-0.4,2
7.2,-0.3,2
2.5,-0.8,2
1.3,-0.2,2
1,-0.5,2
1.6,-0.2,2
1.2,-0.4,2
2,0,2
2.1,-0.5,2
3,0,2
2.1,-0.2,2
4.3,0,2
8.9,0,2
5.7,-0.2,2
1.7,-0.3,2
3.3,-0.1,2
1.5,-0.1,2
1.7,0,2
5.1,0,2
17.8,0,2
13.7,0,2
5,-0.1,2
3.4,-0.1,2
1.2,0,2
1.8,0.6,2
2.3,0,2
1.7,-0.4,2
1.8,-0.4,2
3.6,0.3,2
1.1,-0.3,2
1.2,0,2
2.8,-0.7,2
9.2,0,2
4.4,-0.4,2
6.3,-0.3,2
5.4,-0.1,2
4,-0.2,2
5.5,-0.2,2
2.7,-0.3,2
1.4,-0.1,2
3.6,-0.1,2
1.8,-0.6,2
3.1,-0.1,2
8.1,-0.2,2
0.9,-0.2,2
1,-0.5,2
5,-0.1,2
3.4,-0.1,2
1.7,-0.5,2
5.3,-0.3,2
6.1,-0.4,2
3,-0.2,2
7.2,0,2
1.3,-0.2,2
10.7,-0.2,2
3.1,0,2
2.4,-0.1,2
10.6,-0.1,2
4.3,-0.3,2
4.1,-0.5,2
6.7,-0.5,2
4.2,-0.4,2
3.9,-0.3,2
19.7,-0.2,2
9,0,2
13.5,-0.1,2
2.3,0,2
1.9,-0.2,2
1.6,-0.4,2
3.7,0,2
2.7,-0.5,2
4,0,2
5.4,-0.4,2
3,-0.3,2
1.5,-0.1,2
3,-0.1,2
2.8,-0.3,2
19.9,0,2
1.3,-0.6,2
8.8,-0.2,2
3,0,2
4.4,-0.4,2
4.2,-0.1,2
4.3,-0.3,2
4,-0.2,2
5.3,0,2
6.1,-0.2,2
5.6,-0.2,2
1,0,2
1.7,0.2,2
1.1,-0.2,2
6.2,0.2,2
1.2,-0.6,2
2.4,-0.3,2
1.9,0.6,2
1.5,-0.1,2
0.5,-0.1,2
4,-0.3,2
0,0,2
1.4,-0.2,2
3.3,-0.2,2
0.4,-0.4,2
3.7,0,2
4,-0.2,2
1.8,-0.9,2
3.8,-0.1,2
1.6,-0.2,2
2.7,0,2
1.5,0,2
0.9,0.2,2
1.9,0,2
3.4,-0.3,2
0.2,0.1,2
3.6,-0.1,2
6,-0.5,2
2.1,-0.5,2
3.4,0,2
1.4,-0.2,2
2.4,-0.5,2
8.3,-0.1,2
3.2,-0.6,2
4.6,-0.3,2
3.1,0,2
0.5,-0.5,2
5.8,-0.4,2
4.4,-0.3,2
6.9,-0.1,2
4.1,0,2
5.7,0,2
4,-0.4,2
7.1,0,2
15.5,-0.1,2
3.2,-0.2,2
3.9,-0.1,2
2.3,-0.7,2
6.6,-0.1,2
3.5,-0.5,2
3.1,-0.7,2
2,-0.2,2
3,-0.3,2
7.2,-0.2,2
0.7,-0.1,2
7.2,-0.4,2
1.8,0.2,2
5,0,2
13.8,0,2
2.4,-0.2,2
1.1,0,2
2.2,-0.2,2
2,-0.6,2
2.5,0.2,2
1.1,0.5,2
3.2,-0.4,2
2.6,0.2,2
3.2,-0.3,2
0.8,-0.2,2
1.1,0,2
3.1,-0.3,2
2.5,-0.3,2
1.4,-0.4,2
0.6,0.2,2
3.2,-0.4,2
1.3,-0.2,2
3,-0.4,2
2.4,-0.8,2
2.2,-0.4,2
0.6,-0.6,2
1.3,-0.2,2
2.9,-0.2,2
1.2,-0.1,2
0.8,-0.4,2
2.9,-0.3,2
1.3,0,2
2.5,0,2
4,-0.3,2
1.2,-0.3,2
1.8,-0.5,2
1.5,-0.2,2
1.6,-0.5,2
1.9,-0.5,2
0.6,0,2
6.6,-0.1,2
4.3,-0.2,2
7.1,0,2
4.6,0,2
1.4,-0.7,2
4.9,0,2
8.9,-0.4,2
4.2,-0.4,2
0.5,-0.2,2
6.1,0,2
1,-0.3,2
1.8,-0.1,2
3.1,0,2
9.7,-0.1,2
1.8,-0.3,2
1.7,-0.3,2
2.2,-0.7,2
3.4,0,2
2.5,0,2
2.7,-0.4,2
2.6,-0.3,2
2.8,0.2,2
1.9,0.3,2
1.8,-0.2,2
19.6,0,2
1.7,-0.5,2
3.4,-0.5,2
7.3,0,2
3.1,-0.3,2
1.7,-0.5,2
2.4,-0.1,2
23.3,0.1,2
1.9,-0.4,2
4.6,-0.1,2
3,-0.6,2
1.2,-0.6,2
5.2,-0.4,2
9.7,-0.2,2
12.7,0,2
8.7,-0.4,2
2.9,-0.1,2
0.8,-0.2,2
3.7,-0.7,2
2.1,-0.1,2
3.3,-0.1,2
2.8,-0.4,2
6.8,-0.1,2
5.8,-0.2,2
2.6,-0.3,2
2.5,-0.3,2
5.1,-0.3,2
3.9,-0.1,2
4.7,-0.4,2
2.3,-0.3,2
4.6,-0.3,2
5.4,-0.3,2
0.9,0.4,2
3.7,-0.6,2
4.1,0,2
3.1,-0.6,2
1.9,-0.6,2
4.4,-0.2,2
4.2,-0.1,2
5.2,-0.4,2
3,-0.5,2
1.9,-0.6,2
4.8,0.1,2
1,0.5,2
1.8,-0.9,2
1.7,0,2
2.4,0,2
3.3,-0.4,2
2.3,0,2
7.2,-0.1,2
4.2,-0.5,2
9.5,-0.3,2
4.5,-0.2,2
5.3,-0.4,2
6.4,0,2
4.8,-0.3,2
2,-0.1,2
5.4,-0.3,2
1.8,-0.9,2
4.5,-0.1,2
4.4,-0.2,2
9.2,-0.4,2
9.7,-0.3,2
4.4,-0.4,2
5.5,-0.3,2
2,-0.5,2
2.1,-0.3,2
3.2,-0.2,2
5.1,-0.1,2
3.6,-0.6,2
3.5,-0.2,2
4.3,0,2
4,-0.8,2
1.6,-0.2,2
4.5,-0.3,2
2.1,0,2
0.9,-0.9,2
3.6,-0.2,2
1.8,-0.5,2
5.3,-0.2,2
1.3,-0.3,2
1,-0.1,2
0.3,-0.1,2
3.5,-0.2,2
3.4,-0.4,2
9.4,-0.4,2
2.4,-0.2,2
0.9,0,2
3.8,-0.1,2
2,-0.4,2
3.1,-0.1,2
4.8,-0.2,2
1.1,0,2
0.8,-0.8,2
1.3,0,2
4.2,-0.1,2
2.4,-0.2,2
1.5,-0.2,2
2.1,-0.4,2
2.5,-0.3,2
0.9,-0.2,2
1.9,-0.4,2
5.7,-0.1,2
1.3,0,2
3.1,-0.1,2
6.6,-0.5,2
0.2,0,2
3.8,-0.2,2
0.7,-0.7,2
2.4,-0.8,2
5.1,-0.4,2
5.5,-0.2,2
2.8,-0.2,2
2.2,0.1,2
6.9,-0.2,2
5.5,-0.4,2
2,-0.3,2
1.2,0.3,2
2.1,0,2
2.4,0,2
1.3,-0.6,2
1.5,0,2
1.6,-0.8,2
4.9,-0.3,2
2,-0.4,2
3,-0.1,2
9.5,-0.5,2
7.2,-0.3,2
2.5,0,2
7.9,0,2
3.4,-0.5,2
2.2,-0.2,2
2.7,-0.2,2
0.9,-0.9,2
2.8,-0.7,2
6.8,-0.3,2
6.3,-0.3,2
2.9,-0.7,2
1.9,-0.3,2
2.9,-0.1,2
5.3,-0.3,2
1.8,-0.3,2
0.9,-0.2,2
2.9,0,2
3.7,-0.2,2
4.3,-0.3,2
1,-0.1,2
2.3,-0.1,2
2.2,0.4,2
2.9,0.1,2
5.8,-0.4,2
3.2,0.2,2
10.7,0,2
0.8,-0.3,2
2.4,-0.4,2
7.4,-0.4,2
4.3,-0.5,2
2.1,-0.2,2
5.1,-0.2,2
5.5,-0.1,2
10.5,-0.1,2
4.3,0.2,2
8.7,-0.4,2
1.8,-0.3,2
0.7,0.1,2
1.6,-0.5,2
5.8,-0.1,2
3.3,0.6,2
0.4,0,2
4.7,-0.2,2
4.8,0,2
2.2,-0.2,2
2.9,-0.3,2
0.5,0,2
2.2,-0.1,2
1.5,-0.2,2
3.9,-0.1,2
3.5,-0.1,2
5.1,-0.3,2
1.4,0,2
6,-0.6,2
4.3,-0.3,2
0.8,-0.2,2
0.8,-0.1,2
4,-0.3,2
4.9,-0.2,2
0.2,0,2
2.9,0,2
2.7,-0.3,2
4.8,-0.5,2
4.7,-0.3,2
2.2,-0.7,2
7.4,0,2
5.8,-0.6,2
10,-0.2,2
2.6,-0.3,2
5.1,-0.7,2
2.9,0,2
1.9,-0.2,2
1.3,-0.3,2
4.6,0,2
4.1,0,2
3.3,-0.5,2
4,-0.2,2
3.5,-0.2,2
6.7,0,2
5.6,-0.2,2
4.3,-0.1,2
7.8,-0.4,2
1.8,-0.6,2
6.7,0,2
16.3,0,2
3,-0.3,2
9.7,-0.3,2
17.8,-0.2,2
1.2,-0.3,2
1.6,-0.4,2
1.1,0,2
2,-0.4,2
3.4,-0.1,2
5,-0.4,2
10,-0.2,2
3.5,-0.3,2
3.8,-0.2,2
2.4,0,2
2.5,0,2
2.2,-0.3,2
1.8,-0.6,2
5,-0.2,2
5.3,0,2
4.6,-0.3,2
1.2,-0.3,2
4,-0.4,2
6.4,-0.1,2
5.3,0,2
11.9,0,2
5,-0.1,2
4.9,-0.5,2
2.1,0,2
4.5,-0.1,2
6.9,-0.1,2
0.6,0.1,2
2.4,-0.8,2
1.4,-0.2,2
4.6,0,2
0.9,-0.4,2
2.2,-0.5,2
2.2,-0.1,2
3.3,0,2
11.3,0.1,2
1.8,0.1,2
2.4,0.1,2
2.6,0,2
2.2,-0.4,2
4.6,0,2
7,-0.1,2
1.3,-0.1,2
2.8,-0.2,2
2.5,0,2
7,-0.2,2
6.2,0,2
10.3,0,2
10.3,-0.1,2
20.2,0,2
14.7,0,2
4.4,-0.2,2
1.6,0,2
11.9,-0.2,2
4.4,-0.6,2
4.2,-0.4,2
1,0.2,2
5.2,-0.1,2
4.8,-0.1,2
1.6,-0.3,2
1.4,-0.4,2
2.3,-0.2,2
2.5,0,2
5.7,-0.2,2
6.9,0,2
4.2,0.4,2
25.2,0,2
1.6,0.3,2
3.7,0.1,2
2.1,0,2
8.9,-0.2,2
2.3,-0.4,2
0.9,-0.9,2
11.3,0,2
7.5,-0.3,2
1,-0.3,2
0.3,0.3,2
2.7,-0.1,2
3.5,-0.2,2
12.6,-0.1,2
6.7,0,2
12.3,-0.2,2
2,-0.1,2
0.8,-0.4,2
1,-0.3,2
2.7,-0.5,2
2.5,-0.2,2
0.8,-0.8,2
4.6,0,2
4.6,-0.5,2
4.4,-0.1,2
2.3,-0.4,2
2.3,0,2
1.2,-0.1,2
1.4,-0.4,2
1.5,0,2
2.7,-0.1,2
0.4,-0.4,2
1.3,-0.2,2
1.5,-0.5,2
2.1,0.1,2
4.3,-0.4,2
3.7,-0.7,2
1.5,0,2
0.3,-0.1,2
5,0,2
12,-0.2,2
3.2,-0.1,2
4.1,-0.3,2
3.3,-0.3,2
0.9,-0.4,2
2.7,-0.3,2
1.6,-0.4,2
2.2,-0.2,2
2.4,-0.4,2
3.3,-0.3,2
4.9,0,2
12.9,-0.2,2
15.7,-0.3,2
2.8,-0.2,2
4.4,-0.3,2
4.6,0,2
4.6,-0.3,2
6,-0.3,2
2.9,0.1,2
5.3,-0.3,2
2,-0.5,2
2.8,-0.2,2
5.3,0.1,2
1.5,-0.7,2
6.7,-0.2,2
9.5,0,2
2.5,-0.1,2
2.8,-0.3,2
3.3,0,2
1.8,0,2
1.4,0.3,2
4.4,-0.1,2
3.4,-0.5,2
4,-0.1,2
2.3,-0.5,2
0.8,-0.4,2
4.1,-0.5,2
1.5,-0.1,2
2,-0.3,2
1.4,-0.3,2
3.2,0,2
7.3,-0.2,2
6.2,-0.1,2
4.7,0,2
2.7,0.3,2
3.2,0.2,2
11,-0.2,2
4.6,-0.2,2
6.6,-0.4,2
1.1,-0.2,2
8.4,0.2,2
8.2,0,2
1.6,0,2
3.5,-0.3,2
3,-0.3,2
3.9,-0.1,2
3.8,-0.5,2
2.1,-0.1,2
1.5,-0.7,2
1.6,-0.8,2
3.2,0,2
11.9,-0.3,2
4.2,-0.3,2
7.1,0,2
1.6,-0.5,2
1.7,-0.5,2
2,-0.4,2
0.9,-0.9,2
1.1,0.2,2
3.1,-0.3,2
2.2,-0.3,2
2.8,-0.4,2
2.2,0,2
3.5,-0.1,2
2.1,0,2
1.6,0,2
11.1,-0.3,2
2.9,-0.5,2
3.6,-0.9,2
1,-0.5,2
2.6,-0.8,2
2.8,-0.2,2
1.2,0,2
0.2,0,2
0.4,-0.4,2
2.6,-0.1,2
5.3,-0.2,2
11.3,0,2
0,0,2
2.5,-0.2,2
1.1,-0.3,2
0.5,0.5,2
2.1,-0.7,2
3.1,-0.1,2
3.7,0.1,2
12.3,-0.3,2
0.5,0.5,2
1.7,-0.8,2
0.6,-0.2,2
2.7,-0.3,2
1.3,-0.4,2
3.8,-0.4,2
7.6,-0.3,2
2,-0.6,2
3.2,-0.2,2
9.2,-0.1,2
2.1,-0.7,2
0.6,-0.1,2
3,0,2
0.9,-0.2,2
1,0.2,2
7.1,-0.1,2
5.7,0,2
4.6,-0.5,2
3.2,-0.5,2
5.9,0,2
2.4,-0.4,2
4.1,0,2
10.4,-0.1,2
1.1,-0.5,2
3,-0.3,2
2.2,-0.7,2
4.2,0,2
1,-0.3,2
8.8,-0.1,2
5.1,-0.2,2
3.9,-0.6,2
8.5,-0.3,2
2.9,0,2
1.7,-0.2,2
2.5,-0.2,2
2.5,-0.6,2
4,-0.3,2
11.3,0,2
7.4,0,2
8.2,-0.2,2
13.4,0,2
12.7,-0.2,2
13,-0.2,2
3.3,-0.4,2
2.8,0.4,2
9.1,-0.3,2
7.6,-0.3,2
3,0,2
3.3,0,2
7.7,0,2
5.3,0,2
3.8,0,2
3.7,-0.2,2
9.7,-0.2,2
15,0,2
4.3,-0.2,2
12.5,0,2
6.5,-0.4,2
8.8,-0.1,2
13.1,-0.1,2
16,-0.1,2
7.6,-0.1,2
5.5,-0.3,2
22.1,0,2
3.2,-0.3,2
1.6,-0.5,2
1.8,-0.6,2
1.5,0,2
2.9,0,2
18,-0.2,2
10.9,-0.4,2
3.4,-0.3,2
7.3,-0.1,2
7.5,-0.2,2
3.1,-0.6,2
3.1,0,2
0.8,-0.2,2
9.1,0,2
1.1,0.1,2
5.5,-0.1,2
5.1,0.3,2
1.4,0,2
0.9,-0.3,2
4,0,2
7.5,0,2
1.4,0,2
7.5,0.1,2
1.6,0,2
1.7,-0.5,2
1.9,-0.1,2
0.6,0,2
1.9,-0.1,2
6.7,-0.1,2
1.2,-0.1,2
0.6,0,2
1.1,0.5,2
3.1,0.1,2
1.7,0,2
6.4,-0.4,2
6.2,-0.2,2
16.2,0,2
1.2,-0.1,2
13,-0.4,2
5.2,-0.8,2
1.4,0,2
4.3,-0.2,2
5.8,-0.6,2
2.9,-0.1,2
5.6,-0.5,2
0.3,-0.1,2
0.9,-0.9,2
15.8,-0.2,2
5.1,-0.1,2
1.5,-0.1,2
0.8,-0.8,2
3.4,-0.3,2
0.8,-0.4,2
2.4,-0.1,2
3.2,0,2
2.4,-0.1,2
